u,v,dist,ux,uy,vx,vy
0_00000,0_00008,3000.0,3647896.395613305,-2678304.918284757,3647896.395613305,-2681304.918284757
0_00000,0_00018,3000.0,3647896.395613305,-2678304.918284757,3647896.395613305,-2675304.918284757
0_00001,0_00021,3000.0,3670196.900786695,-2684304.918284757,3670196.900786695,-2681304.918284757
0_00002,0_00013,3000.0,3670196.900786695,-2675304.918284757,3670196.900786695,-2678304.918284757
0_00002,0_00022,3000.0,3670196.900786695,-2675304.918284757,3670196.900786695,-2672304.918284757
0_00003,0_00009,3000.0,3647896.395613305,-2669304.918284757,3647896.395613305,-2672304.918284757
0_00003,0_00019,3000.0,3647896.395613305,-2669304.918284757,3647896.395613305,-2666304.918284757
0_00004,0_00010,3000.0,3647896.395613305,-2660304.918284757,3647896.395613305,-2663304.918284757
0_00004,0_00020,3000.0,3647896.395613305,-2660304.918284757,3647896.395613305,-2657304.918284757
0_00005,0_00011,3000.0,3647896.395613305,-2651304.918284757,3647896.395613305,-2654304.918284757
0_00006,0_00012,3000.0,3670196.900786695,-2666304.918284757,3670196.900786695,-2669304.918284757
0_00006,0_00023,3000.0,3670196.900786695,-2666304.918284757,3670196.900786695,-2663304.918284757
0_00007,0_00014,3000.0,3670196.900786695,-2657304.918284757,3670196.900786695,-2660304.918284757
0_00007,0_00024,3000.0,3670196.900786695,-2657304.918284757,3670196.900786695,-2654304.918284757
0_00008,0_00017,3000.0,3647896.395613305,-2681304.918284757,3647896.395613305,-2684304.918284757
0_00009,0_00018,3000.0,3647896.395613305,-2672304.918284757,3647896.395613305,-2675304.918284757
0_00010,0_00019,3000.0,3647896.395613305,-2663304.918284757,3647896.395613305,-2666304.918284757
0_00011,0_00020,3000.0,3647896.395613305,-2654304.918284757,3647896.395613305,-2657304.918284757
0_00012,0_00022,3000.0,3670196.900786695,-2669304.918284757,3670196.900786695,-2672304.918284757
0_00013,0_00021,3000.0,3670196.900786695,-2678304.918284757,3670196.900786695,-2681304.918284757
0_00014,0_00023,3000.0,3670196.900786695,-2660304.918284757,3670196.900786695,-2663304.918284757
0_00016,0_00024,3000.0,3670196.900786695,-2651304.918284757,3670196.900786695,-2654304.918284757
1_00000,1_00052,2200.0,3637896.648174009,-2675882.724113807,3637896.648174009,-2673682.724113807
1_00000,1_00060,2200.0,3637896.648174009,-2675882.724113807,3637896.648174009,-2678082.724113807
1_00001,1_00053,2200.0,3680196.648225992,-2664882.724113807,3680196.648225992,-2662682.724113807
1_00001,1_00061,2200.0,3680196.648225992,-2664882.724113807,3680196.648225992,-2667082.724113807
1_00002,1_00020,2163.3307652783938,3676996.648225992,-2659882.724113807,3678796.648225992,-2661082.724113807
1_00002,1_00087,2884.4410203711914,3676996.648225992,-2659882.724113807,3674596.648225992,-2658282.724113807
1_00003,1_00040,2126.02916254693,3673596.648225992,-2677282.724113807,3674996.648225992,-2675682.724113807
1_00003,1_00059,2126.02916254693,3673596.648225992,-2677282.724113807,3671996.648225992,-2678682.724113807
1_00003,1_00085,2126.02916254693,3673596.648225992,-2677282.724113807,3675196.648225992,-2678682.724113807
1_00004,1_00032,2126.02916254693,3646096.648174009,-2678682.724113807,3644496.648174009,-2677282.724113807
1_00004,1_00050,2607.6809620810595,3646096.648174009,-2678682.724113807,3646296.648174009,-2676082.724113807
1_00005,1_00016,2126.02916254693,3675396.648225992,-2653082.724113807,3676796.648225992,-2654682.724113807
1_00005,1_00026,2280.350850198276,3675396.648225992,-2653082.724113807,3673596.648225992,-2654482.724113807
1_00005,1_00076,2154.0659228538016,3675396.648225992,-2653082.724113807,3673396.648225992,-2652282.724113807
1_00006,1_00064,2200.0,3646296.648174009,-2682282.724113807,3646296.648174009,-2684482.724113807
1_00007,1_00016,2807.13376952364,3676596.648225992,-2657482.724113807,3676796.648225992,-2654682.724113807
1_00007,1_00042,2154.0659228538016,3676596.648225992,-2657482.724113807,3678596.648225992,-2658282.724113807
1_00007,1_00063,2126.02916254693,3676596.648225992,-2657482.724113807,3674996.648225992,-2656082.724113807
1_00007,1_00097,2280.350850198276,3676596.648225992,-2657482.724113807,3678396.648225992,-2656082.724113807
1_00008,1_00021,2200.0,3663596.648225992,-2686082.724113807,3665796.648225992,-2686082.724113807
1_00008,1_00022,2441.3111231467406,3663596.648225992,-2686082.724113807,3664996.648225992,-2688082.724113807
1_00008,1_00078,2200.0,3663596.648225992,-2686082.724113807,3661396.648225992,-2686082.724113807
1_00009,1_00064,2126.02916254693,3647896.648174009,-2685882.724113807,3646296.648174009,-2684482.724113807
1_00009,1_00065,2668.332812825267,3647896.648174009,-2685882.724113807,3645296.648174009,-2686482.724113807
1_00009,1_00088,2209.072203437452,3647896.648174009,-2685882.724113807,3650096.648174009,-2686082.724113807
1_00010,1_00081,2126.02916254693,3642096.648174009,-2668882.724113807,3640696.648174009,-2670482.724113807
1_00010,1_00091,2126.02916254693,3642096.648174009,-2668882.724113807,3643696.648174009,-2667482.724113807
1_00011,1_00060,2200.0,3637896.648174009,-2680282.724113807,3637896.648174009,-2678082.724113807
1_00011,1_00068,2200.0,3637896.648174009,-2680282.724113807,3637896.648174009,-2682482.724113807
1_00011,1_00095,2441.3111231467406,3637896.648174009,-2680282.724113807,3639896.648174009,-2681682.724113807
1_00012,1_00061,2200.0,3680196.648225992,-2669282.724113807,3680196.648225992,-2667082.724113807
1_00012,1_00069,2200.0,3680196.648225992,-2669282.724113807,3680196.648225992,-2671482.724113807
1_00013,1_00024,2126.02916254693,3672796.648225992,-2686482.724113807,3674196.648225992,-2688082.724113807
1_00013,1_00030,2668.332812825267,3672796.648225992,-2686482.724113807,3670196.648225992,-2685882.724113807
1_00013,1_00084,2236.06797749979,3672796.648225992,-2686482.724113807,3671796.648225992,-2684482.724113807
1_00014,1_00018,2236.06797749979,3645096.648174009,-2659882.724113807,3646096.648174009,-2661882.724113807
1_00014,1_00055,3000.0,3645096.648174009,-2659882.724113807,3645096.648174009,-2656882.724113807
1_00014,1_00096,2126.02916254693,3645096.648174009,-2659882.724113807,3646696.648174009,-2658482.724113807
1_00014,1_00105,2262.741699796952,3645096.648174009,-2659882.724113807,3643496.648174009,-2658282.724113807
1_00015,1_00051,2126.02916254693,3637896.648174009,-2662682.724113807,3639296.648174009,-2661082.724113807
1_00015,1_00073,2200.0,3637896.648174009,-2662682.724113807,3637896.648174009,-2664882.724113807
1_00016,1_00063,2280.350850198276,3676796.648225992,-2654682.724113807,3674996.648225992,-2656082.724113807
1_00016,1_00097,2126.02916254693,3676796.648225992,-2654682.724113807,3678396.648225992,-2656082.724113807
1_00017,1_00049,2262.741699796952,3641496.648174009,-2674082.724113807,3643096.648174009,-2675682.724113807
1_00017,1_00110,2262.741699796952,3641496.648174009,-2674082.724113807,3639896.648174009,-2672482.724113807
1_00018,1_00075,2209.072203437452,3646096.648174009,-2661882.724113807,3646296.648174009,-2664082.724113807
1_00019,1_00033,2262.741699796952,3671396.648225992,-2658482.724113807,3672996.648225992,-2656882.724113807
1_00019,1_00070,2126.02916254693,3671396.648225992,-2658482.724113807,3672996.648225992,-2659882.724113807
1_00020,1_00053,2126.02916254693,3678796.648225992,-2661082.724113807,3680196.648225992,-2662682.724113807
1_00021,1_00022,2154.0659228538016,3665796.648225992,-2686082.724113807,3664996.648225992,-2688082.724113807
1_00021,1_00029,2200.0,3665796.648225992,-2686082.724113807,3667996.648225992,-2686082.724113807
1_00022,1_00079,2200.0,3664996.648225992,-2688082.724113807,3664996.648225992,-2690282.724113807
1_00023,1_00073,2200.0,3637896.648174009,-2667082.724113807,3637896.648174009,-2664882.724113807
1_00023,1_00082,2200.0,3637896.648174009,-2667082.724113807,3637896.648174009,-2669282.724113807
1_00025,1_00065,2126.02916254693,3643896.648174009,-2688082.724113807,3645296.648174009,-2686482.724113807
1_00026,1_00033,2473.8633753705963,3673596.648225992,-2654482.724113807,3672996.648225992,-2656882.724113807
1_00026,1_00063,2126.02916254693,3673596.648225992,-2654482.724113807,3674996.648225992,-2656082.724113807
1_00026,1_00072,2607.6809620810595,3673596.648225992,-2654482.724113807,3671396.648225992,-2653082.724113807
1_00026,1_00076,2209.072203437452,3673596.648225992,-2654482.724113807,3673396.648225992,-2652282.724113807
1_00026,1_00108,2154.0659228538016,3673596.648225992,-2654482.724113807,3671596.648225992,-2655282.724113807
1_00027,1_00052,2200.0,3637896.648174009,-2671482.724113807,3637896.648174009,-2673682.724113807
1_00027,1_00081,2973.213749463701,3637896.648174009,-2671482.724113807,3640696.648174009,-2670482.724113807
1_00027,1_00082,2200.0,3637896.648174009,-2671482.724113807,3637896.648174009,-2669282.724113807
1_00027,1_00110,2236.06797749979,3637896.648174009,-2671482.724113807,3639896.648174009,-2672482.724113807
1_00028,1_00086,2126.02916254693,3641296.648174009,-2680082.724113807,3642896.648174009,-2678682.724113807
1_00028,1_00095,2126.02916254693,3641296.648174009,-2680082.724113807,3639896.648174009,-2681682.724113807
1_00029,1_00030,2209.072203437452,3667996.648225992,-2686082.724113807,3670196.648225992,-2685882.724113807
1_00030,1_00084,2126.02916254693,3670196.648225992,-2685882.724113807,3671796.648225992,-2684482.724113807
1_00031,1_00037,2154.0659228538016,3644696.648174009,-2652282.724113807,3646696.648174009,-2653082.724113807
1_00031,1_00046,2209.072203437452,3644696.648174009,-2652282.724113807,3644496.648174009,-2654482.724113807
1_00031,1_00077,2154.0659228538016,3644696.648174009,-2652282.724113807,3642696.648174009,-2653082.724113807
1_00032,1_00049,2126.02916254693,3644496.648174009,-2677282.724113807,3643096.648174009,-2675682.724113807
1_00032,1_00086,2126.02916254693,3644496.648174009,-2677282.724113807,3642896.648174009,-2678682.724113807
1_00033,1_00063,2154.0659228538016,3672996.648225992,-2656882.724113807,3674996.648225992,-2656082.724113807
1_00033,1_00070,3000.0,3672996.648225992,-2656882.724113807,3672996.648225992,-2659882.724113807
1_00033,1_00087,2126.02916254693,3672996.648225992,-2656882.724113807,3674596.648225992,-2658282.724113807
1_00033,1_00108,2126.02916254693,3672996.648225992,-2656882.724113807,3671596.648225992,-2655282.724113807
1_00034,1_00093,2200.0,3671796.648225992,-2669482.724113807,3671796.648225992,-2671682.724113807
1_00034,1_00111,2236.06797749979,3671796.648225992,-2669482.724113807,3671396.648225992,-2667282.724113807
1_00036,1_00046,2126.02916254693,3643096.648174009,-2656082.724113807,3644496.648174009,-2654482.724113807
1_00036,1_00055,2154.0659228538016,3643096.648174009,-2656082.724113807,3645096.648174009,-2656882.724113807
1_00036,1_00067,2126.02916254693,3643096.648174009,-2656082.724113807,3641496.648174009,-2657482.724113807
1_00036,1_00094,2280.350850198276,3643096.648174009,-2656082.724113807,3641296.648174009,-2654682.724113807
1_00036,1_00105,2236.06797749979,3643096.648174009,-2656082.724113807,3643496.648174009,-2658282.724113807
1_00037,1_00046,2607.6809620810595,3646696.648174009,-2653082.724113807,3644496.648174009,-2654482.724113807
1_00037,1_00100,2209.072203437452,3646696.648174009,-2653082.724113807,3646496.648174009,-2655282.724113807
1_00038,1_00093,2200.0,3671796.648225992,-2673882.724113807,3671796.648225992,-2671682.724113807
1_00038,1_00103,2200.0,3671796.648225992,-2673882.724113807,3671796.648225992,-2676082.724113807
1_00039,1_00099,2200.0,3680196.648225992,-2675882.724113807,3680196.648225992,-2673682.724113807
1_00039,1_00104,2200.0,3680196.648225992,-2675882.724113807,3680196.648225992,-2678082.724113807
1_00040,1_00066,2262.741699796952,3674996.648225992,-2675682.724113807,3676596.648225992,-2674082.724113807
1_00041,1_00044,2154.0659228538016,3652296.648174009,-2686082.724113807,3653096.648174009,-2688082.724113807
1_00041,1_00056,2200.0,3652296.648174009,-2686082.724113807,3654496.648174009,-2686082.724113807
1_00041,1_00088,2200.0,3652296.648174009,-2686082.724113807,3650096.648174009,-2686082.724113807
1_00042,1_00097,2209.072203437452,3678596.648225992,-2658282.724113807,3678396.648225992,-2656082.724113807
1_00043,1_00102,2200.0,3646296.648174009,-2671682.724113807,3646296.648174009,-2669482.724113807
1_00043,1_00106,2200.0,3646296.648174009,-2671682.724113807,3646296.648174009,-2673882.724113807
1_00044,1_00056,2441.3111231467406,3653096.648174009,-2688082.724113807,3654496.648174009,-2686082.724113807
1_00044,1_00107,2200.0,3653096.648174009,-2688082.724113807,3653096.648174009,-2690282.724113807
1_00045,1_00069,2973.213749463701,3677396.648225992,-2670482.724113807,3680196.648225992,-2671482.724113807
1_00045,1_00074,2126.02916254693,3677396.648225992,-2670482.724113807,3675996.648225992,-2668882.724113807
1_00045,1_00109,2154.0659228538016,3677396.648225992,-2670482.724113807,3678196.648225992,-2672482.724113807
1_00046,1_00055,2473.8633753705963,3644496.648174009,-2654482.724113807,3645096.648174009,-2656882.724113807
1_00046,1_00077,2280.350850198276,3644496.648174009,-2654482.724113807,3642696.648174009,-2653082.724113807
1_00046,1_00100,2154.0659228538016,3644496.648174009,-2654482.724113807,3646496.648174009,-2655282.724113807
1_00047,1_00092,2441.3111231467406,3680196.648225992,-2680282.724113807,3678196.648225992,-2681682.724113807
1_00047,1_00104,2200.0,3680196.648225992,-2680282.724113807,3680196.648225992,-2678082.724113807
1_00047,1_00112,2200.0,3680196.648225992,-2680282.724113807,3680196.648225992,-2682482.724113807
1_00048,1_00084,2200.0,3671796.648225992,-2682282.724113807,3671796.648225992,-2684482.724113807
1_00050,1_00106,2200.0,3646296.648174009,-2676082.724113807,3646296.648174009,-2673882.724113807
1_00051,1_00080,2163.3307652783938,3639296.648174009,-2661082.724113807,3641096.648174009,-2659882.724113807
1_00052,1_00110,2332.38075793812,3637896.648174009,-2673682.724113807,3639896.648174009,-2672482.724113807
1_00054,1_00085,2126.02916254693,3676796.648225992,-2680082.724113807,3675196.648225992,-2678682.724113807
1_00054,1_00092,2126.02916254693,3676796.648225992,-2680082.724113807,3678196.648225992,-2681682.724113807
1_00055,1_00096,2262.741699796952,3645096.648174009,-2656882.724113807,3646696.648174009,-2658482.724113807
1_00055,1_00100,2126.02916254693,3645096.648174009,-2656882.724113807,3646496.648174009,-2655282.724113807
1_00055,1_00105,2126.02916254693,3645096.648174009,-2656882.724113807,3643496.648174009,-2658282.724113807
1_00056,1_00098,2200.0,3654496.648174009,-2686082.724113807,3656696.648174009,-2686082.724113807
1_00058,1_00090,2163.3307652783938,3672996.648225992,-2665882.724113807,3671796.648225992,-2664082.724113807
1_00058,1_00101,2126.02916254693,3672996.648225992,-2665882.724113807,3674396.648225992,-2667482.724113807
1_00058,1_00111,2126.02916254693,3672996.648225992,-2665882.724113807,3671396.648225992,-2667282.724113807
1_00059,1_00103,2607.6809620810595,3671996.648225992,-2678682.724113807,3671796.648225992,-2676082.724113807
1_00062,1_00067,2154.0659228538016,3639496.648174009,-2658282.724113807,3641496.648174009,-2657482.724113807
1_00062,1_00089,2209.072203437452,3639496.648174009,-2658282.724113807,3639696.648174009,-2656082.724113807
1_00063,1_00087,2236.06797749979,3674996.648225992,-2656082.724113807,3674596.648225992,-2658282.724113807
1_00064,1_00065,2236.06797749979,3646296.648174009,-2684482.724113807,3645296.648174009,-2686482.724113807
1_00066,1_00109,2262.741699796952,3676596.648225992,-2674082.724113807,3678196.648225992,-2672482.724113807
1_00067,1_00089,2280.350850198276,3641496.648174009,-2657482.724113807,3639696.648174009,-2656082.724113807
1_00067,1_00094,2807.13376952364,3641496.648174009,-2657482.724113807,3641296.648174009,-2654682.724113807
1_00068,1_00095,2154.0659228538016,3637896.648174009,-2682482.724113807,3639896.648174009,-2681682.724113807
1_00069,1_00099,2200.0,3680196.648225992,-2671482.724113807,3680196.648225992,-2673682.724113807
1_00069,1_00109,2236.06797749979,3680196.648225992,-2671482.724113807,3678196.648225992,-2672482.724113807
1_00070,1_00071,2236.06797749979,3672996.648225992,-2659882.724113807,3671996.648225992,-2661882.724113807
1_00070,1_00087,2262.741699796952,3672996.648225992,-2659882.724113807,3674596.648225992,-2658282.724113807
1_00071,1_00090,2209.072203437452,3671996.648225992,-2661882.724113807,3671796.648225992,-2664082.724113807
1_00072,1_00076,2154.0659228538016,3671396.648225992,-2653082.724113807,3673396.648225992,-2652282.724113807
1_00072,1_00108,2209.072203437452,3671396.648225992,-2653082.724113807,3671596.648225992,-2655282.724113807
1_00074,1_00101,2126.02916254693,3675996.648225992,-2668882.724113807,3674396.648225992,-2667482.724113807
1_00075,1_00113,2163.3307652783938,3646296.648174009,-2664082.724113807,3645096.648174009,-2665882.724113807
1_00077,1_00094,2126.02916254693,3642696.648174009,-2653082.724113807,3641296.648174009,-2654682.724113807
1_00078,1_00114,2350.000025991816,3661396.648225992,-2686082.724113807,3659046.6482,-2686082.724113807
1_00080,1_00105,2884.4410203711914,3641096.648174009,-2659882.724113807,3643496.648174009,-2658282.724113807
1_00081,1_00110,2154.0659228538016,3640696.648174009,-2670482.724113807,3639896.648174009,-2672482.724113807
1_00083,1_00102,2236.06797749979,3646696.648174009,-2667282.724113807,3646296.648174009,-2669482.724113807
1_00083,1_00113,2126.02916254693,3646696.648174009,-2667282.724113807,3645096.648174009,-2665882.724113807
1_00089,1_00094,2126.02916254693,3639696.648174009,-2656082.724113807,3641296.648174009,-2654682.724113807
1_00091,1_00113,2126.02916254693,3643696.648174009,-2667482.724113807,3645096.648174009,-2665882.724113807
1_00092,1_00112,2154.0659228538016,3678196.648225992,-2681682.724113807,3680196.648225992,-2682482.724113807
1_00098,1_00114,2350.0000259913504,3656696.648174009,-2686082.724113807,3659046.6482,-2686082.724113807
1_00099,1_00109,2332.38075793812,3680196.648225992,-2673682.724113807,3678196.648225992,-2672482.724113807
2_00000,2_00001,2154.0659228538016,3643349.296728103,-2694332.724113806,3642549.296728103,-2696332.724113806
2_00000,2_00041,2154.0659228538016,3643349.296728103,-2694332.724113806,3644149.296728103,-2692332.724113806
2_00002,2_00015,2200.0,3688143.9996718974,-2666932.724113806,3690343.9996718974,-2666932.724113806
2_00002,2_00132,2200.0,3688143.9996718974,-2666932.724113806,3685943.9996718974,-2666932.724113806
2_00003,2_00004,2473.8633753705963,3639749.296728103,-2686932.724113806,3639149.296728103,-2684532.724113806
2_00003,2_00009,2441.3111231467406,3639749.296728103,-2686932.724113806,3641749.296728103,-2688332.724113806
2_00003,2_00024,2441.3111231467406,3639749.296728103,-2686932.724113806,3637749.296728103,-2688332.724113806
2_00003,2_00074,2200.0,3639749.296728103,-2686932.724113806,3639749.296728103,-2689132.724113806
2_00003,2_00092,2154.0659228538016,3639749.296728103,-2686932.724113806,3637749.296728103,-2686132.724113806
2_00004,2_00092,2126.02916254693,3639149.296728103,-2684532.724113806,3637749.296728103,-2686132.724113806
2_00004,2_00130,2163.3307652783938,3639149.296728103,-2684532.724113806,3637349.296728103,-2683332.724113806
