u,v,dist,ux,uy,vx,vy
1_00035,2_00121,927.9192764987234,3672996.648225992,-2650082.724113807,3673743.9996718974,-2649532.724113806
1_00057,2_00027,2390.3176007033144,3645096.648174009,-2650082.724113807,3642949.296728103,-2651132.724113806
1_00057,2_00077,927.9192764990985,3645096.648174009,-2650082.724113807,3644349.296728103,-2649532.724113806
exit5,2_00024,1324.8751530353488,3637346.597244247,-2689594.915579802,3637749.296728103,-2688332.724113806
exit6,2_00087,1324.8759288279339,3680746.70170807,-2689594.915579809,3680343.9996718974,-2688332.724113806
exit7,2_00010,1141.1328564947714,3637437.72150718,-2647789.918488905,3636349.296728103,-2648132.724113806
exit8,2_00022,1141.138705456553,3680655.569097504,-2647789.917419273,3681743.9996718974,-2648132.724113806
exit4,1_00042,971.7519340319418,3679317.226557069,-2658934.6970350835,3678596.648225992,-2658282.724113807
exit1,1_00062,971.7519726471622,3638776.0697909095,-2658934.6970351418,3639496.648174009,-2658282.724113807
exit2,0_00017,1279.2166937539675,3646969.4663491007,-2685186.506334098,3647896.395613305,-2684304.918284757
exit3,0_00001,1279.2213994963795,3671123.83654504,-2685186.5063341493,3670196.900786695,-2684304.918284757
0A_1,0A_2,3389.735604463611,3651812.29966077,-2655047.274103,3655202.035265234,-2655047.274103
0A_1,0A_3,7488.109373441432,3651812.29966077,-2655047.274103,3651812.29966077,-2662535.3834764413
0A_1,0A_4,8219.616138043779,3651812.29966077,-2655047.274103,3655202.035265234,-2662535.3834764413
0A_2,0A_3,8219.616138043779,3655202.035265234,-2655047.274103,3651812.29966077,-2662535.3834764413
0A_2,0A_4,7488.109373441432,3655202.035265234,-2655047.274103,3655202.035265234,-2662535.3834764413
0A_3,0A_4,3389.735604463611,3651812.29966077,-2662535.3834764413,3655202.035265234,-2662535.3834764413
0B_1,0B_2,3389.735604465008,3662891.740530854,-2655047.274103,3666281.476135319,-2655047.274103
0B_1,0B_3,7488.1093734405,3662891.740530854,-2655047.274103,3662891.740530854,-2662535.3834764403
0B_1,0B_4,8219.616138043506,3662891.740530854,-2655047.274103,3666281.476135319,-2662535.3834764403
0B_2,0B_3,8219.616138043506,3666281.476135319,-2655047.274103,3662891.740530854,-2662535.3834764403
0B_2,0B_4,7488.1093734405,3666281.476135319,-2655047.274103,3666281.476135319,-2662535.3834764403
0B_3,0B_4,3389.735604465008,3662891.740530854,-2662535.3834764403,3666281.476135319,-2662535.3834764403
0C_1,0C_2,4214.735604463611,3652224.7996607698,-2669919.621750227,3656439.5352652334,-2669919.621750227
0C_1,0C_3,5680.367174133658,3652224.7996607698,-2669919.621750227,3652224.7996607698,-2675599.988924361
0C_1,0C_4,7073.228926629509,3652224.7996607698,-2669919.621750227,3656439.5352652334,-2675599.988924361
0C_2,0C_3,7073.228926629509,3656439.5352652334,-2669919.621750227,3652224.7996607698,-2675599.988924361
0C_2,0C_4,5680.367174133658,3656439.5352652334,-2669919.621750227,3656439.5352652334,-2675599.988924361
0C_3,0C_4,4214.735604463611,3652224.7996607698,-2675599.988924361,3656439.5352652334,-2675599.988924361
0D_1,0D_2,4214.7356044640765,3661654.270869696,-2669919.6217502286,3665869.00647416,-2669919.6217502286
0D_1,0D_3,5680.367174132261,3661654.270869696,-2669919.6217502286,3661654.270869696,-2675599.988924361
0D_1,0D_4,7073.228926628665,3661654.270869696,-2669919.6217502286,3665869.00647416,-2675599.988924361
0D_2,0D_3,7073.228926628665,3665869.00647416,-2669919.6217502286,3661654.270869696,-2675599.988924361
0D_2,0D_4,5680.367174132261,3665869.00647416,-2669919.6217502286,3665869.00647416,-2675599.988924361
0D_3,0D_4,4214.7356044640765,3661654.270869696,-2675599.988924361,3665869.00647416,-2675599.988924361
1B11_1,1B11_3,3640.447050491017,3640153.9092716505,-2664317.8139319024,3642021.5302871824,-2667442.689364583
1B11_2,1B11_4,3640.4470504905394,3643889.1513027134,-2664317.8139319024,3642021.5302871824,-2661192.9384992216
1B12_1,1B12_3,2723.653843672385,3642851.136197045,-2671674.762905477,3644215.01241077,-2674032.331978439
1B12_2,1B12_4,2723.653843671812,3645578.888624496,-2671674.762905477,3644215.01241077,-2669317.193832516
1B21_1,1B21_3,2735.232796074186,3639167.933514597,-2676889.6372789848,3640553.232215578,-2679248.121105043
1B21_2,1B21_4,2735.232796074422,3641938.53091656,-2676889.6372789848,3640553.232215578,-2674531.1534529263
1B22_1,1B22_3,3036.6985505638418,3641749.174739257,-2683017.9974582447,3643475.751622808,-2685516.0908016134
1B22_2,1B22_4,3036.6985505641064,3645202.32850636,-2683017.9974582447,3643475.751622808,-2680519.904114876
1C1_3,1C1_4,4244.787631396204,3646474.610519115,-2689404.3460555607,3650719.398150511,-2689404.3460555607
1C1_1,1C1_2,4244.787631396204,3646474.610519115,-2686928.492629411,3650719.398150511,-2686928.492629411
1C2_3,1C2_4,4917.0,3656588.151447103,-2689537.531797652,3661505.151447103,-2689537.531797652
1C2_1,1C2_2,4917.0,3656588.151447103,-2687347.1471652337,3661505.151447103,-2687347.1471652337
1C3_3,1C3_4,4244.78599485429,3667373.9039254105,-2689404.34603483,3671618.6899202648,-2689404.34603483
1C3_1,1C3_2,4244.78599485429,3667373.9039254105,-2686928.49256709,3671618.6899202648,-2686928.49256709
1D11_1,1D11_4,3640.447050490778,3674204.145045306,-2664317.8139319047,3676071.7660608375,-2661192.938499224
1D11_2,1D11_3,3640.447050490778,3677939.387076369,-2664317.8139319047,3676071.7660608375,-2667442.6893645856
1D12_1,1D12_4,2723.653843672618,3672514.4142697584,-2671674.7629051744,3673878.290483484,-2669317.1938322126
1D12_2,1D12_3,2723.653843672152,3675242.166697209,-2671674.7629051744,3673878.290483484,-2674032.331978136
1D21_1,1D21_4,2735.232796075059,3676154.769058301,-2676889.473792534,3677540.0677592834,-2674530.989966475
1D21_2,1D21_3,2735.232796075059,3678925.3664602656,-2676889.473792534,3677540.0677592834,-2679247.957618593
1D22_1,1D22_4,3036.6985505631937,3672890.974387834,-2683017.997458257,3674617.5512713846,-2680519.9041148885
1D22_2,1D22_3,3036.69855056396,3676344.1281549353,-2683017.997458257,3674617.5512713846,-2685516.090801626
1G_1,1G_3,3299.5075760339387,3638802.502152181,-2653272.653861134,3638802.502152181,-2656572.161437168
1H_2,1H_3,3308.498931572307,3679286.298748781,-2653259.167750551,3679286.298748781,-2656567.666682123
2A1_1,2A1_3,3266.999999995809,3628362.975931328,-2653421.415011691,3628362.975931328,-2656688.4150116867
2A1_2,2A1_4,3266.999999995809,3632705.940977884,-2653421.415011691,3632705.940977884,-2656688.4150116867
2A2_1,2A2_3,3266.9999999967404,3627617.2578850873,-2661221.418284813,3627617.2578850873,-2664488.4182848097
2A2_2,2A2_4,3266.9999999967404,3632457.368618386,-2661221.418284813,3632457.368618386,-2664488.4182848097
2A3_1,2A3_3,3267.000000040047,3627647.185544805,-2669121.418283754,3627647.185544805,-2672388.418283794
2A3_2,2A3_4,3267.000000040047,3632467.3445049017,-2669121.418283754,3632467.3445049017,-2672388.418283794
2A4_1,2A4_3,3817.000000002328,3628366.8421267527,-2677246.418284772,3628366.8421267527,-2681063.4182847743
2A4_2,2A4_4,3817.000000002328,3632707.230032208,-2677246.418284772,3632707.230032208,-2681063.4182847743
2C12_3,2C12_4,4641.996833637822,3645878.790169592,-2696719.693288726,3650520.78700323,-2696719.693288726
2C12_1,2C12_2,4641.996833637822,3645878.790169592,-2693574.534328888,3650520.78700323,-2693574.534328888
2C2_3,2C2_4,4916.999538636301,3656588.151216433,-2696007.193288712,3661505.150755069,-2696007.193288712
2C2_1,2C2_2,4916.999538636301,3656588.151216433,-2693337.034328879,3661505.150755069,-2693337.034328879
2C31_3,2C31_4,4642.000106718391,3667572.5109813423,-2696719.693288726,3672214.5110880607,-2696719.693288726
2C31_1,2C31_2,4642.000106718391,3667572.5109813423,-2693574.534328888,3672214.5110880607,-2693574.534328888
2E1_1,2E1_3,3266.999999995809,3685386.066315739,-2653421.414896727,3685386.066315739,-2656688.414896723
2E1_2,2E1_4,3266.999999995809,3689726.454221233,-2653421.414896727,3689726.454221233,-2656688.414896723
2E2_1,2E2_3,3267.000461358577,3685625.9518428906,-2661221.418515494,3685625.9518428906,-2664488.4189768527
2E2_2,2E2_4,3267.000461358577,3690446.110802732,-2661221.418515494,3690446.110802732,-2664488.4189768527
2E3_1,2E3_3,3267.000000040047,3685625.951843104,-2669121.418283754,3685625.951843104,-2672388.418283794
2E3_2,2E3_4,3267.000000040047,3690446.110803201,-2669121.418283754,3690446.110803201,-2672388.418283794
2E4_1,2E4_3,3817.000461364165,3685386.0663157967,-2677246.417592729,3685386.0663157967,-2681063.418054093
2E4_2,2E4_4,3817.000461364165,3689726.454221253,-2677246.417592729,3689726.454221253,-2681063.418054093
0A_3,0_00010,3990.800462334051,3651812.29966077,-2662535.3834764413,3647896.395613305,-2663304.918284757
0B_4,0_00023,3990.330064269586,3666281.476135319,-2662535.3834764403,3670196.900786695,-2663304.918284757
0C_3,0_00000,5104.088992449537,3652224.7996607698,-2675599.988924361,3647896.395613305,-2678304.918284757
0D_4,0_00013,5103.656730737863,3665869.00647416,-2675599.988924361,3670196.900786695,-2678304.918284757
1B11_1,1_00051,3346.745093471239,3640153.9092716505,-2664317.8139319024,3639296.648174009,-2661082.724113807
1B11_2,1_00113,1976.6113860891005,3643889.1513027134,-2664317.8139319024,3645096.648174009,-2665882.724113807
1B11_3,1_00010,1441.992640720979,3642021.5302871824,-2667442.689364583,3642096.648174009,-2668882.724113807
1B11_4,1_00080,1603.7670214266027,3642021.5302871824,-2661192.9384992216,3641096.648174009,-2659882.724113807
1B12_1,1_00081,2462.270318679964,3642851.136197045,-2671674.762905477,3640696.648174009,-2670482.724113807
1B12_2,1_00043,717.8037000149617,3645578.888624496,-2671674.762905477,3646296.648174009,-2671682.724113807
1B12_3,1_00106,2087.005022503263,3644215.01241077,-2674032.331978439,3646296.648174009,-2673882.724113807
1B12_4,1_00091,1906.3002467643716,3644215.01241077,-2669317.193832516,3643696.648174009,-2667482.724113807
1B21_1,1_00000,1621.7399728076873,3639167.933514597,-2676889.6372789848,3637896.648174009,-2675882.724113807
1B21_2,1_00086,2033.01477521301,3641938.53091656,-2676889.6372789848,3642896.648174009,-2678682.724113807
1B21_3,1_00028,1117.6893439086775,3640553.232215578,-2679248.121105043,3641296.648174009,-2680082.724113807
1B21_4,1_00110,2151.0846940574056,3640553.232215578,-2674531.1534529263,3639896.648174009,-2672482.724113807
1B22_1,1_00095,2283.595756546164,3641749.174739257,-2683017.9974582447,3639896.648174009,-2681682.724113807
1B22_2,1_00006,1318.3938812220863,3645202.32850636,-2683017.9974582447,3646296.648174009,-2682282.724113807
1B22_3,1_00065,2061.5635353820544,3643475.751622808,-2685516.0908016134,3645296.648174009,-2686482.724113807
1B22_4,1_00086,1926.2894799948097,3643475.751622808,-2680519.904114876,3642896.648174009,-2678682.724113807
1C1_1,1_00065,1259.4859491044904,3646474.610519115,-2686928.492629411,3645296.648174009,-2686482.724113807
1C1_2,1_00044,2642.644129237,3650719.398150511,-2686928.492629411,3653096.648174009,-2688082.724113807
1C1_3,1_00025,2896.994029974772,3646474.610519115,-2689404.3460555607,3643896.648174009,-2688082.724113807
1C1_4,1_00107,2534.337327079523,3650719.398150511,-2689404.3460555607,3653096.648174009,-2690282.724113807
1C2_1,1_00044,3568.1463749822683,3656588.151447103,-2687347.1471652337,3653096.648174009,-2688082.724113807
1C2_2,1_00022,3568.140020271821,3661505.151447103,-2687347.1471652337,3664996.648225992,-2688082.724113807
1C2_3,1_00107,3570.140990784958,3656588.151447103,-2689537.531797652,3653096.648174009,-2690282.724113807
1C2_4,1_00079,3570.134639624855,3661505.151447103,-2689537.531797652,3664996.648225992,-2690282.724113807
1C3_1,1_00022,2642.6492623605805,3667373.9039254105,-2686928.49256709,3664996.648225992,-2688082.724113807
1C3_2,1_00013,1259.482149128707,3671618.6899202648,-2686928.49256709,3672796.648225992,-2686482.724113807
1C3_3,1_00079,2534.3426583722244,3667373.9039254105,-2689404.34603483,3664996.648225992,-2690282.724113807
1C3_4,1_00024,2896.9904259759323,3671618.6899202648,-2689404.34603483,3674196.648225992,-2688082.724113807
1D11_1,1_00058,1976.6113543322735,3674204.145045306,-2664317.8139319047,3672996.648225992,-2665882.724113807
1D11_2,1_00020,3346.7451067883826,3677939.387076369,-2664317.8139319047,3678796.648225992,-2661082.724113807
1D11_3,1_00074,1441.9926380108109,3676071.7660608375,-2667442.6893645856,3675996.648225992,-2668882.724113807
1D11_4,1_00002,1603.76705140552,3676071.7660608375,-2661192.938499224,3676996.648225992,-2659882.724113807
1D12_1,1_00093,717.8101938722834,3672514.4142697584,-2671674.7629051744,3671796.648225992,-2671682.724113807
1D12_2,1_00045,2462.2646360601707,3675242.166697209,-2671674.7629051744,3677396.648225992,-2670482.724113807
1D12_3,1_00038,2087.011500027193,3673878.290483484,-2674032.331978136,3671796.648225992,-2673882.724113807
1D12_4,1_00101,1906.2984805545864,3673878.290483484,-2669317.1938322126,3674396.648225992,-2667482.724113807
1D21_1,1_00085,2033.1606537731504,3676154.769058301,-2676889.473792534,3675196.648225992,-2678682.724113807
1D21_2,1_00039,1621.6356691578053,3678925.3664602656,-2676889.473792534,3680196.648225992,-2675882.724113807
1D21_3,1_00054,1117.8138056096527,3677540.0677592834,-2679247.957618593,3676796.648225992,-2680082.724113807
1D21_4,1_00109,2150.927918938361,3677540.0677592834,-2674530.989966475,3678196.648225992,-2672482.724113807
1D22_1,1_00048,1318.3992716737166,3672890.974387834,-2683017.997458257,3671796.648225992,-2682282.724113807
1D22_2,1_00092,2283.59048825872,3676344.1281549353,-2683017.997458257,3678196.648225992,-2681682.724113807
1D22_3,1_00013,2061.569271438202,3674617.5512713846,-2685516.090801626,3672796.648225992,-2686482.724113807
1D22_4,1_00085,1926.2875276575785,3674617.5512713846,-2680519.9041148885,3675196.648225992,-2678682.724113807
1G_1,2_00082,2253.5450348130144,3638802.502152181,-2653272.653861134,3639949.296728103,-2651332.724113806
1G_2,2_00027,2335.312893323309,3642014.210108466,-2653272.653861134,3642949.296728103,-2651132.724113806
1H_1,2_00026,2317.5654289720524,3676065.599898305,-2653259.167750551,3675143.9996718974,-2651132.724113806
1H_2,2_00118,2239.650032170971,3679286.298748781,-2653259.167750551,3678143.9996718974,-2651332.724113806
2A1_1,2_00089,1610.1567948490078,3628362.975931328,-2653421.415011691,3629549.296728103,-2652332.724113806
2A1_2,2_00137,1449.281232810349,3632705.940977884,-2653421.415011691,3631749.296728103,-2652332.724113806
2A1_3,2_00128,2387.2572529194763,3628362.975931328,-2656688.4150116867,3627549.296728103,-2658932.724113806
2A1_4,2_00102,2558.741391276288,3632705.940977884,-2656688.4150116867,3631949.296728103,-2659132.724113806
2A2_1,2_00128,2289.7029779556806,3627617.2578850873,-2661221.418284813,3627549.296728103,-2658932.724113806
2A2_2,2_00102,2149.6000524966025,3632457.368618386,-2661221.418284813,3631949.296728103,-2659132.724113806
2A2_3,2_00103,2447.869531190548,3627617.2578850873,-2664488.4182848097,3627749.296728103,-2666932.724113806
2A2_4,2_00060,2463.643495972702,3632457.368618386,-2664488.4182848097,3632149.296728103,-2666932.724113806
2A3_1,2_00103,2191.0748191968046,3627647.185544805,-2669121.418283754,3627749.296728103,-2666932.724113806
2A3_2,2_00060,2211.681839209798,3632467.3445049017,-2669121.418283754,3632149.296728103,-2666932.724113806
2A3_3,2_00114,2546.354030842514,3627647.185544805,-2672388.418283794,3627749.296728103,-2674932.724113806
2A3_4,2_00029,2564.1073583140087,3632467.3445049017,-2672388.418283794,3632149.296728103,-2674932.724113806
2A4_1,2_00114,2394.690592989973,3628366.8421267527,-2677246.418284772,3627749.296728103,-2674932.724113806
2A4_2,2_00029,2380.0147664648325,3632707.230032208,-2677246.418284772,3632149.296728103,-2674932.724113806
2A4_3,2_00014,2400.413328752391,3628366.8421267527,-2681063.4182847743,3629149.296728103,-2683332.724113806
2A4_4,2_00075,2798.9765860469533,3632707.230032208,-2681063.4182847743,3633549.296728103,-2683732.724113806
2C11_1,2_00041,1357.7425029126923,3643311.59971875,-2691264.207186127,3644149.296728103,-2692332.724113806
2C11_2,2_00000,1985.827874372164,3641379.842143705,-2694587.205913996,3643349.296728103,-2694332.724113806
2C12_1,2_00000,2640.679613374205,3645878.790169592,-2693574.534328888,3643349.296728103,-2694332.724113806
2C12_2,2_00055,2928.3645629695384,3650520.78700323,-2693574.534328888,3653349.296728103,-2694332.724113806
2C12_3,2_00001,3351.9056847197617,3645878.790169592,-2696719.693288726,3642549.296728103,-2696332.724113806
2C12_4,2_00131,2834.68247535274,3650520.78700323,-2696719.693288726,3653349.296728103,-2696532.724113806
2C2_1,2_00055,3388.4475124138635,3656588.151216433,-2693337.034328879,3653349.296728103,-2694332.724113806
2C2_2,2_00039,3388.442186882867,3661505.150755069,-2693337.034328879,3664743.9996718974,-2694332.724113806
2C2_3,2_00131,3281.213349463801,3656588.151216433,-2696007.193288712,3653349.296728103,-2696532.724113806
2C2_4,2_00113,3281.207849887493,3661505.150755069,-2696007.193288712,3664743.9996718974,-2696532.724113806
2C31_1,2_00039,2928.3660935087505,3667572.5109813423,-2693574.534328888,3664743.9996718974,-2694332.724113806
2C31_2,2_00129,2640.674960254327,3672214.5110880607,-2693574.534328888,3674743.9996718974,-2694332.724113806
2C31_3,2_00113,2834.6840564739946,3667572.5109813423,-2696719.693288726,3664743.9996718974,-2696532.724113806
2C31_4,2_00127,3351.900859547749,3672214.5110880607,-2696719.693288726,3675543.9996718974,-2696332.724113806
2C32_1,2_00081,1357.7460048352102,3674781.70235717,-2691264.207186129,3673943.9996718974,-2692332.724113806
2C32_2,2_00129,1985.831880444916,3676713.458295672,-2694587.205914001,3674743.9996718974,-2694332.724113806
2E1_1,2_00051,1450.1323855627584,3685386.066315739,-2653421.414896727,3686343.9996718974,-2652332.724113806
2E1_2,2_00062,1607.31029426834,3689726.454221233,-2653421.414896727,3688543.9996718974,-2652332.724113806
2E1_3,2_00043,2559.12299843048,3685386.066315739,-2656688.414896723,3686143.9996718974,-2659132.724113806
2E1_4,2_00050,2388.5779086701946,3689726.454221233,-2656688.414896723,3690543.9996718974,-2658932.724113806
2E2_1,2_00043,2151.979985218545,3685625.9518428906,-2661221.418515494,3686143.9996718974,-2659132.724113806
2E2_2,2_00050,2290.786828804509,3690446.110802732,-2661221.418515494,3690543.9996718974,-2658932.724113806
2E2_3,2_00132,2464.91014523311,3685625.9518428906,-2664488.4189768527,3685943.9996718974,-2666932.724113806
2E2_4,2_00015,2446.437059394229,3690446.110802732,-2664488.4189768527,3690343.9996718974,-2666932.724113806
2E3_1,2_00132,2211.6818466868385,3685625.951843104,-2669121.418283754,3685943.9996718974,-2666932.724113806
2E3_2,2_00015,2191.0748167737006,3690446.110803201,-2669121.418283754,3690343.9996718974,-2666932.724113806
2E3_3,2_00101,2564.107364763362,3685625.951843104,-2672388.418283794,3685943.9996718974,-2674932.724113806
2E3_4,2_00023,2546.3540287574924,3690446.110803201,-2672388.418283794,3690343.9996718974,-2674932.724113806
2E4_1,2_00101,2380.014105895129,3685386.0663157967,-2677246.417592729,3685943.9996718974,-2674932.724113806
2E4_2,2_00023,2394.689937762676,3689726.454221253,-2677246.417592729,3690343.9996718974,-2674932.724113806
2E4_3,2_00080,2798.976790398312,3685386.0663157967,-2681063.418054093,3684543.9996718974,-2683732.724113806
2E4_4,2_00111,2400.4135298854653,3689726.454221253,-2681063.418054093,3688943.9996718974,-2683332.724113806
