node,x,y,floor,zone,index,node_count
0A_1,3651812.29966077,-2655047.274103,0,A,1,63
0A_2,3655202.035265234,-2655047.274103,0,A,2,63
0A_3,3651812.29966077,-2662535.3834764413,0,A,3,63
0A_4,3655202.035265234,-2662535.3834764413,0,A,4,63
0B_1,3662891.740530854,-2655047.274103,0,B,1,63
0B_2,3666281.476135319,-2655047.274103,0,B,2,63
0B_3,3662891.740530854,-2662535.3834764403,0,B,3,63
0B_4,3666281.476135319,-2662535.3834764403,0,B,4,63
0C_1,3652224.7996607698,-2669919.621750227,0,C,1,47
0C_2,3656439.5352652334,-2669919.621750227,0,C,2,47
0C_3,3652224.7996607698,-2675599.988924361,0,C,3,47
0C_4,3656439.5352652334,-2675599.988924361,0,C,4,47
0D_1,3661654.270869696,-2669919.6217502286,0,D,1,47
0D_2,3665869.00647416,-2669919.6217502286,0,D,2,47
0D_3,3661654.270869696,-2675599.988924361,0,D,3,47
0D_4,3665869.00647416,-2675599.988924361,0,D,4,47
1B11_1,3640153.9092716505,-2664317.8139319024,1,B11,1,61
1B11_2,3643889.1513027134,-2664317.8139319024,1,B11,2,61
1B11_3,3642021.5302871824,-2667442.689364583,1,B11,3,61
1B11_4,3642021.5302871824,-2661192.9384992216,1,B11,4,61
1B12_1,3642851.136197045,-2671674.762905477,1,B12,1,34
1B12_2,3645578.888624496,-2671674.762905477,1,B12,2,34
1B12_3,3644215.01241077,-2674032.331978439,1,B12,3,34
1B12_4,3644215.01241077,-2669317.1938325157,1,B12,4,34
1B21_1,3639167.933514597,-2676889.6372789848,1,B21,1,34
1B21_2,3641938.53091656,-2676889.6372789848,1,B21,2,34
1B21_3,3640553.232215578,-2679248.121105043,1,B21,3,34
1B21_4,3640553.232215578,-2674531.1534529263,1,B21,4,34
1B22_1,3641749.174739257,-2683017.9974582447,1,B22,1,34
1B22_2,3645202.32850636,-2683017.9974582447,1,B22,2,34
1B22_3,3643475.751622808,-2685516.0908016134,1,B22,3,34
1B22_4,3643475.751622808,-2680519.904114876,1,B22,4,34
1C1_1,3646474.610519115,-2686928.492629411,1,C1,1,19
1C1_2,3650719.398150511,-2686928.492629411,1,C1,2,19
1C1_3,3646474.610519115,-2689404.3460555607,1,C1,3,19
1C1_4,3650719.398150511,-2689404.3460555607,1,C1,4,19
1C2_1,3656588.151447103,-2687347.1471652337,1,C2,1,25
1C2_2,3661505.151447103,-2687347.1471652337,1,C2,2,25
1C2_3,3656588.151447103,-2689537.531797652,1,C2,3,25
1C2_4,3661505.151447103,-2689537.531797652,1,C2,4,25
1C3_1,3667373.9039254105,-2686928.49256709,1,C3,1,19
1C3_2,3671618.6899202648,-2686928.49256709,1,C3,2,19
1C3_3,3667373.9039254105,-2689404.34603483,1,C3,3,19
1C3_4,3671618.6899202648,-2689404.34603483,1,C3,4,19
1D11_1,3674204.145045306,-2664317.8139319047,1,D11,1,61
1D11_2,3677939.387076369,-2664317.8139319047,1,D11,2,61
1D11_3,3676071.7660608375,-2667442.6893645856,1,D11,3,61
1D11_4,3676071.7660608375,-2661192.938499224,1,D11,4,61
1D12_1,3672514.4142697584,-2671674.7629051744,1,D12,1,34
1D12_2,3675242.166697209,-2671674.7629051744,1,D12,2,34
1D12_3,3673878.290483484,-2674032.331978136,1,D12,3,34
1D12_4,3673878.290483484,-2669317.1938322126,1,D12,4,34
1D21_1,3676154.769058301,-2676889.473792534,1,D21,1,34
1D21_2,3678925.3664602656,-2676889.473792534,1,D21,2,34
1D21_3,3677540.0677592834,-2679247.957618593,1,D21,3,34
1D21_4,3677540.0677592834,-2674530.989966475,1,D21,4,34
1D22_1,3672890.974387834,-2683017.997458257,1,D22,1,34
1D22_2,3676344.1281549353,-2683017.997458257,1,D22,2,34
1D22_3,3674617.5512713846,-2685516.090801626,1,D22,3,34
1D22_4,3674617.5512713846,-2680519.9041148885,1,D22,4,34
1G_1,3638802.502152181,-2653272.653861134,1,G,1,19
1G_2,3642014.210108466,-2653272.653861134,1,G,2,19
1G_3,3638802.502152181,-2656572.161437168,1,G,3,19
1H_1,3676065.599898305,-2653259.167750551,1,H,1,19
1H_2,3679286.298748781,-2653259.167750551,1,H,2,19
1H_3,3679286.298748781,-2656567.666682123,1,H,3,19
2A1_1,3628362.975931328,-2653421.415011691,2,A1,1,23
2A1_2,3632705.940977884,-2653421.415011691,2,A1,2,23
2A1_3,3628362.975931328,-2656688.4150116867,2,A1,3,23
2A1_4,3632705.940977884,-2656688.4150116867,2,A1,4,23
2A2_1,3627617.2578850873,-2661221.418284813,2,A2,1,27
2A2_2,3632457.368618386,-2661221.418284813,2,A2,2,27
2A2_3,3627617.2578850873,-2664488.4182848097,2,A2,3,27
2A2_4,3632457.368618386,-2664488.4182848097,2,A2,4,27
2A3_1,3627647.185544805,-2669121.418283754,2,A3,1,27
2A3_2,3632467.3445049017,-2669121.418283754,2,A3,2,27
2A3_3,3627647.185544805,-2672388.418283794,2,A3,3,27
2A3_4,3632467.3445049017,-2672388.418283794,2,A3,4,27
2A4_1,3628366.8421267527,-2677246.418284772,2,A4,1,24
2A4_2,3632707.230032208,-2677246.418284772,2,A4,2,24
2A4_3,3628366.8421267527,-2681063.4182847743,2,A4,3,24
2A4_4,3632707.230032208,-2681063.4182847743,2,A4,4,24
2C11_1,3643311.59971875,-2691264.207186127,2,C11,1,12
2C11_2,3641379.842143705,-2694587.205913996,2,C11,2,12
2C12_1,3645878.790169592,-2693574.534328888,2,C12,1,23
2C12_2,3650520.78700323,-2693574.534328888,2,C12,2,23
2C12_3,3645878.790169592,-2696719.693288726,2,C12,3,23
2C12_4,3650520.78700323,-2696719.693288726,2,C12,4,23
2C2_1,3656588.151216433,-2693337.034328879,2,C2,1,25
2C2_2,3661505.150755069,-2693337.034328879,2,C2,2,25
2C2_3,3656588.151216433,-2696007.193288712,2,C2,3,25
2C2_4,3661505.150755069,-2696007.193288712,2,C2,4,25
2C31_1,3667572.5109813423,-2693574.534328888,2,C31,1,23
2C31_2,3672214.5110880607,-2693574.534328888,2,C31,2,23
2C31_3,3667572.5109813423,-2696719.693288726,2,C31,3,23
2C31_4,3672214.5110880607,-2696719.693288726,2,C31,4,23
2C32_1,3674781.70235717,-2691264.207186129,2,C32,1,12
2C32_2,3676713.458295672,-2694587.205914001,2,C32,2,12
2E1_1,3685386.066315739,-2653421.414896727,2,E1,1,23
2E1_2,3689726.454221233,-2653421.414896727,2,E1,2,23
2E1_3,3685386.066315739,-2656688.414896723,2,E1,3,23
2E1_4,3689726.454221233,-2656688.414896723,2,E1,4,23
2E2_1,3685625.9518428906,-2661221.418515494,2,E2,1,27
2E2_2,3690446.110802732,-2661221.418515494,2,E2,2,27
2E2_3,3685625.9518428906,-2664488.4189768527,2,E2,3,27
2E2_4,3690446.110802732,-2664488.4189768527,2,E2,4,27
2E3_1,3685625.951843104,-2669121.418283754,2,E3,1,27
2E3_2,3690446.110803201,-2669121.418283754,2,E3,2,27
2E3_3,3685625.951843104,-2672388.418283794,2,E3,3,27
2E3_4,3690446.110803201,-2672388.418283794,2,E3,4,27
2E4_1,3685386.0663157967,-2677246.417592729,2,E4,1,24
2E4_2,3689726.454221253,-2677246.417592729,2,E4,2,24
2E4_3,3685386.0663157967,-2681063.418054093,2,E4,3,24
2E4_4,3689726.454221253,-2681063.418054093,2,E4,4,24
